id,dimension,measure,indicator,subset_if_diff,figure  ,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,Notes,,
1113,Health and Social Needs,Education,Dropout Rate,,4,Dropout Rate by Sex,Students in grades 7-12 classified as dropped out by sex.,Number of female students classified as dropped out in the school year.,IA DOEd,Total number of female students in fall enrollment.,IA DOEd,,,,
1114,Health and Social Needs,Community Crime,Serious Crime,,1,"Serious Crime (per 100,000 population)","Rate of serious crime incidents per 100,000 population.",Number of serious crime incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1115,Health and Social Needs,Community Crime,Serious Crime,,2,"Serious Crime (per 100,000 population) Over Time","Rate of serious crime incidents per 100,000 population over time.",Number of serious crime incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1116,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,,1,"Alcohol and Drug-Related Crime (per 1,000 population)","Rate of alcohol and drug-related incidents per 1,000 population.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1117,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,,2,"Alcohol and Drug-Related Crime (per 1,000 population) Over Time","Rate of alcohol and drug-related incidents per 1,000 population over time.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1118,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,,3,"Alcohol and Drug-Related Crime (per 1,000 population) by Age Group","Rate of alcohol and drug-related incidents per 1,000 population by age group.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1119,Health and Social Needs,Community Crime,Arrest,,1,"Arrests per 1,000 population","Rate of incidents with an arrest per 1,000 population.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1120,Health and Social Needs,Community Crime,Arrest,,2,"Arrests per 1,000 population Over Time","Rate of incidents with an arrest per 1,000 population.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1121,Health and Social Needs,Community Crime,Arrest,,3,"Arrests per 1,000 population by Age Group","Rate of incidents with an arrest per 1,000 population by age group.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1122,Health and Social Needs,Community Crime,Arrest,,4,"Arrests per 1,000 population by Crime Type","Rate of incidents with an arrest per 1,000 population by crime type.",Number of incidents of arrest by crime type.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,,,
1123,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,1,"Domestic Violence (per 100,000 population)","Rate of domestic violence incidents per 100,000 population.",Number of domestic violence incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1124,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,2,"Domestic Violence (per 100,000 population) Over Time","Rate of domestic violence incidents per 100,000 population over time.",Number of domestic violence incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1125,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,3,Domestic Violence Victims by Sex,Domestic violence victims who are female.,Number of domestic violence incidents where the victim was female.,IA DPS,Total number of domestic violence incidents.,IA DPS,,,,
1126,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,1,"Domestic Violence by Child Presence (per 100,000 population)","Rate of domestic violence incidents per 100,000 population by child presence.",Number of domestic violence incidents by child presence.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1127,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,2,"Domestic Violence by Child Presence (per 100,000 population) Over Time","Rate of domestic violence incidents per 100,000 population by child presence over time.",Number of domestic violence incidents by child presence.,IA DPS,"Total number of people divided by 100,000.",ACS,x,,,
1128,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,3,Domestic Violence Incidents by Child Presence,Domestic violence incidents by children presence.,Number of domestic violence incidents by child presence.,IA DPS,Total number of domestic violence incidents.,IA DPS,,,,
1129,Services,Human Services,Availability of Child Care,,1,Availability of Child Care,Licensed/registered child care slots that are open.,Number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,N/A,IA HHS,,,,
1130,Services,Human Services,Availability of Child Care,,2,Availability of Child Care Over Time,Licensed/registered child care slots that are open over time.,Number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,N/A,IA HHS,,,,
1131,Services,Human Services,Availability of Child Care,,3,Availability of Child Care by Provider Type,Licensed/registered child care slots that are open by provider type.,"Number of open child care slots in HHS licensed centers/preschools and registered child development homes, by provider type.",IA HHS,Total number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,,,,
1132,Services,Human Services,SNAP,,1,Households Receiving SNAP,Households receiving SNAP benefits.,Number of households receiving SNAP by household type.,ACS,Total number of households by household type.,ACS,,,,
1133,Services,Human Services,SNAP,,2,Households Receiving SNAP Over Time,Households receiving SNAP benefits over time.,Number of households receiving SNAP by household type.,ACS,Total number of households by household type.,ACS,,,,
1134,Services,Human Services,SNAP,,3,Households Receiving SNAP by Federal Poverty Level,Households receiving SNAP benefits by federal poverty level.,"Number of households receiving SNAP, by federal poverty level.",ACS,Total number of households by federal poverty level.,ACS,,,,
1135,Services,Human Services,WIC,,1,Children Receiving WIC,Children receiving WIC benefits.,Number of children receiving WIC.,IA HHS,Total number of children.,ACS,x,,,
1136,Services,Human Services,WIC,,2,Children Receiving WIC Over Time,Children receiving WIC benefits over time.,Number of children receiving WIC.,IA HHS,Total number of children.,ACS,x,,,
1137,Services,Human Services,WIC,,3,Children Receiving WIC by Age Group,Children receiving WIC benefits by age group.,Number of children receiving WIC by age group.,IA HHS,Total number of children by age group.,ACS,x,,,
1138,Services,Human Services,WIC,,3,Children Receiving WIC by Age Group,Children receiving WIC benefits by age group.,Number of children whose mothers received WIC at time of birth.,VS Birth Records,Total live births.,VS Birth Records,,,,
1139,Services,Human Services,Dental Services,,1,Dental Services for Children 0-5 Enrolled in Medicaid,Medicaid-enrolled children ages 0-5 who received dental services.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service.,IA HHS,Total number of Medicaid-enrolled children ages 0-5.,IA HHS,,,,
1140,Services,Human Services,Dental Services,,2,Dental Services for Children 0-5 Enrolled in Medicaid Over Time,Medicaid-enrolled children ages 0-5 who received dental services over time.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service.,IA HHS,Total number of Medicaid-enrolled children ages 0-5.,IA HHS,,,,
1141,Services,Human Services,Dental Services,,3,Dental Services for Children 0-5 Enrolled in Medicaid by Age Group,Medicaid-enrolled children ages 0-5 who received dental services by age group.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service by age group.,IA HHS,Total number of Medicaid-enrolled children ages 0-5 by age group.,IA HHS,,,,
1142,Services,Human Services,Health Coverage,,1,Children With Health Coverage,Children with health insurance coverage.,Number of children with health insurance coverage.,ACS,Total number of children.,ACS,,,,
1143,Services,Human Services,Health Coverage,,2,Children With Health Coverage Over Time,Children with health insurance coverage over time.,Number of children with health insurance coverage.,ACS,Total number of children.,ACS,,,,
1144,Services,Human Services,Health Coverage,,3,Children with Health Coverage by Federal Poverty Level,Children with health insurance coverage by federal poverty level.,Number of children with health insurance coverage by federal poverty level.,ACS,Total number of children by federal poverty level.,ACS,,,,
1145,Services,Human Services,Foster Care,,1,"Children in Foster Care per 1,000 Children","Rate of children in foster care per 1,000 children.",Number of children in foster care by age group.,HHS,"Total number of children divided by 1,000, by age group.",ACS,x,,,
1146,Services,Human Services,Foster Care,,2,"Children in Foster Care per 1,000 Children Over Time","Rate of children in foster care per 1,000 children over time.",Number of children in foster care by age group.,HHS,"Total number of children divided by 1,000, by age group.",ACS,x,,,
1147,Services,Human Services,Foster Care,,3,"Children in Foster Care per 1,000 Children by Age Group","Rate of children in foster care per 1,000 children over time by age group.",Number of children in foster care by age group.,ACS,"Total number of children divided by 1,000, by age group.",ACS,,,,
