ID,dimension,measure,indicator,source,data ,min_year,max_year,date_obtained,Link,notes
5001,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B17024,2018,2024,01/29/26,https://data.census.gov/ ,
5002,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B17020A-I,2018,2024,01/29/26,https://data.census.gov/ ,
5003,Economic,Children in Poverty,Federal Poverty Level (FPL),Iowa Department of Education,Number of K-12 Students Eligible For free Or Reduced-Price Lunch Enrolled in the School,2018,2024,09/16/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5004,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,Iowa's Integrated Data System for Decision-Making (I2D2),Iowa Birth Records,2007,2024,09/05/25,https://i2d2.iastate.edu/,
5005,Economic,All People in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B17020A-I,2018,2024,01/29/26,https://data.census.gov/ ,
5006,Economic,Homelessness,Point in Time (PIT),Institute for Community Alliances,County-Level Point-in-Time Counts of People Experiencing Homelessness,2018,2024,09/08/25,https://icalliances.org/pit,
5007,Economic,Homelessness,Point in Time (PIT),U.S. Department of Housing and Urban Development (HUD),2007-2024 Point-in-Time Estimates by State,2018,2024,09/08/25,https://www.huduser.gov/portal/sites/default/files/xls/2007-2024-PIT-Counts-by-State.xlsb,
5008,Economic,Homelessness,Students Facing Homelessness,Iowa Department of Education,Number of Homeless K-12 Students Enrolled in School,2018,2024,09/11/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5009,Economic,Unemployment,Unemployment,Iowa Workforce Development,Local Area Unemployment Statistics (LAUS),2000,2024,01/09/26,https://workforce.iowa.gov/labor-market-information/indicators/local,
5010,Demographic,Child Demographics,Child Age,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09001,2018,2024,01/29/26,https://data.census.gov/ ,
5011,Demographic,Child Demographics,Child Race and Ethnicity,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B01001A-I,2018,2024,01/29/26,https://data.census.gov/ ,
5012,Demographic,Household Characteristics,Household Type,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09002,2018,2024,01/29/26,https://data.census.gov/ ,
5013,Demographic,Household Characteristics,Working Parents,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B23008,2018,2024,01/29/26,https://data.census.gov/ ,
5014,Demographic,Household Characteristics,Language Spoken at Home,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B16007,2018,2024,01/29/26,https://data.census.gov/ ,
5015,Demographic,Household Characteristics,Transportation,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B08141,2018,2024,01/29/26,https://data.census.gov/ ,
5016,Demographic,Household Characteristics,Work Schedules,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B08132,2018,2024,01/29/26,https://data.census.gov/ ,
